year,month,dest,lat,lon,count
2020,11,KFLL,26.072599,-80.152702,4261
2020,3,KCLT,35.214001,-80.943100,4253
2020,3,KSEA,47.449001,-122.308998,4251
2019,5,KPHL,39.871899,-75.241096,4237
2019,8,KDAL,32.847099,-96.851799,4225
2020,9,KSFO,37.618999,-122.375000,4214
2019,7,KPHL,39.871899,-75.241096,4201
2020,11,KMSP,44.882000,-93.221802,4196
2019,9,KATL,33.636700,-84.428101,4190
2019,5,KMDW,41.785999,-87.752403,4183
2019,2,KSAN,32.733601,-117.190002,4176
2021,3,KBWI,39.175400,-76.668297,4171
2020,11,KDTW,42.212399,-83.353401,4170
2021,1,KSFO,37.618999,-122.375000,4111
2020,2,KTPA,27.975500,-82.533203,4109
2021,1,KDTW,42.212399,-83.353401,4101
2019,10,KSTL,38.748697,-90.370003,4085
2019,6,KPHL,39.871899,-75.241096,4078
2020,8,KSEA,47.449001,-122.308998,4076
2020,4,KORD,41.978600,-87.904800,4072
2020,10,KDTW,42.212399,-83.353401,4064
2020,10,KSEA,47.449001,-122.308998,4054
2020,3,KPHL,39.871899,-75.241096,4040
2019,6,KLAX,33.942501,-118.407997,4027
2020,10,KBWI,39.175400,-76.668297,4020
2020,3,KDAL,32.847099,-96.851799,4019
2019,9,KDAL,32.847099,-96.851799,4017
2020,3,KBNA,36.124500,-86.678200,4013
2021,1,KSLC,40.785749,-111.979746,4008
2020,9,KBWI,39.175400,-76.668297,3996
2019,6,KBWI,39.175400,-76.668297,3989
2019,12,KCLT,35.214001,-80.943100,3982
2020,4,KPHX,33.435302,-112.005905,3981
2019,5,KCLT,35.214001,-80.943100,3977
2021,1,KMCO,28.429399,-81.308998,3963
2019,1,KLGA,40.777199,-73.872597,3951
2020,12,KSEA,47.449001,-122.308998,3946
2020,7,KBOS,42.364300,-71.005203,3943
2020,4,KDFW,32.896801,-97.038002,3935
2020,10,KMSP,44.882000,-93.221802,3928
2020,7,KBWI,39.175400,-76.668297,3917
2020,11,KSEA,47.449001,-122.308998,3906
2020,12,KSLC,40.785749,-111.979746,3905
2021,3,KSLC,40.785749,-111.979746,3897
2019,6,KBOS,42.364300,-71.005203,3891
2020,6,KLAX,33.942501,-118.407997,3890
2020,11,KBWI,39.175400,-76.668297,3888
2019,7,KDAL,32.847099,-96.851799,3881
2019,7,KTPA,27.975500,-82.533203,3878
2019,9,KBWI,39.175400,-76.668297,3872
2019,3,KLGA,40.777199,-73.872597,3858
2019,2,KLGA,40.777199,-73.872597,3857
2019,1,KFLL,26.072599,-80.152702,3852
2020,3,KDCA,38.852100,-77.037697,3846
2020,8,KBNA,36.124500,-86.678200,3844
2021,2,KSFO,37.618999,-122.375000,3837
2019,3,KLAX,33.942501,-118.407997,3823
2019,4,KLGA,40.777199,-73.872597,3818
2019,8,KTPA,27.975500,-82.533203,3798
2019,6,KMDW,41.785999,-87.752403,3789
2021,3,KBOS,42.364300,-71.005203,3787
2019,10,KCLT,35.214001,-80.943100,3780
2019,9,KDCA,38.852100,-77.037697,3778
2019,2,KMCO,28.429399,-81.308998,3776
2019,8,KDCA,38.852100,-77.037697,3771
2020,2,KSTL,38.748697,-90.370003,3760
2019,12,KSTL,38.748697,-90.370003,3757
2019,11,KSTL,38.748697,-90.370003,3743
2020,10,KMDW,41.785999,-87.752403,3741
2020,1,KSTL,38.748697,-90.370003,3739
2021,3,KBNA,36.124500,-86.678200,3739
2020,12,KBWI,39.175400,-76.668297,3735
2020,11,KMDW,41.785999,-87.752403,3722
2021,3,KMDW,41.785999,-87.752403,3717
2019,5,KDEN,39.861698,-104.672997,3713
2019,8,KEWR,40.692501,-74.168701,3704
2020,8,KSAN,32.733601,-117.190002,3698
2021,2,KSLC,40.785749,-111.979746,3688
2019,10,KSJC,37.362598,-121.929001,3686
2021,3,KRSW,26.536200,-81.755203,3684
2019,8,KMCO,28.429399,-81.308998,3674
2019,5,KBWI,39.175400,-76.668297,3672
2020,6,KMDW,41.785999,-87.752403,3670
2019,7,KMDW,41.785999,-87.752403,3667
2019,8,KSTL,38.748697,-90.370003,3666
2021,3,KSEA,47.449001,-122.308998,3646
2020,6,KORD,41.978600,-87.904800,3642
2020,9,KMDW,41.785999,-87.752403,3642
2020,8,KBOS,42.364300,-71.005203,3607
2019,1,KMIA,25.793200,-80.290604,3604
2019,4,KSEA,47.449001,-122.308998,3601
2019,4,KMDW,41.785999,-87.752403,3595
2020,8,KDTW,42.212399,-83.353401,3585
2021,1,KBWI,39.175400,-76.668297,3568
2019,7,KEWR,40.692501,-74.168701,3566
2019,4,KCLT,35.214001,-80.943100,3559
2020,7,KSEA,47.449001,-122.308998,3557
2021,2,KDTW,42.212399,-83.353401,3552
2019,9,KSTL,38.748697,-90.370003,3548
2020,4,KLAX,33.942501,-118.407997,3547
2020,7,KSAN,32.733601,-117.190002,3546
2020,3,KMDW,41.785999,-87.752403,3534
2021,1,KSEA,47.449001,-122.308998,3530
2019,8,KSJC,37.362598,-121.929001,3530
2019,12,KDEN,39.861698,-104.672997,3528
2020,9,KSEA,47.449001,-122.308998,3525
2020,11,KBOS,42.364300,-71.005203,3523
2019,7,KSJC,37.362598,-121.929001,3502
2019,12,KSJC,37.362598,-121.929001,3477
2019,10,KHOU,29.645399,-95.278900,3475
2020,10,KFLL,26.072599,-80.152702,3472
2021,3,KEWR,40.692501,-74.168701,3463
2019,6,KCLT,35.214001,-80.943100,3452
2020,9,KMSP,44.882000,-93.221802,3446
2019,7,KDCA,38.852100,-77.037697,3433
2020,1,KSJC,37.362598,-121.929001,3422
2019,3,KSEA,47.449001,-122.308998,3421
2020,5,KLAS,36.080101,-115.152000,3420
2019,8,KAUS,30.194500,-97.669899,3419
2020,10,KBNA,36.124500,-86.678200,3414
2020,12,KBOS,42.364300,-71.005203,3413
2020,11,KBNA,36.124500,-86.678200,3413
2019,11,KSJC,37.362598,-121.929001,3411
2020,7,KBNA,36.124500,-86.678200,3406
2019,9,KFLL,26.072599,-80.152702,3389
2019,5,KDAL,32.847099,-96.851799,3387
2020,3,KSTL,38.748697,-90.370003,3387
2019,6,KDAL,32.847099,-96.851799,3371
2019,11,KCLT,35.214001,-80.943100,3370
2021,3,KSAN,32.733601,-117.190002,3366
2020,7,KFLL,26.072599,-80.152702,3363
2019,9,KTPA,27.975500,-82.533203,3361
2021,1,KMIA,25.793200,-80.290604,3353
2020,10,KBOS,42.364300,-71.005203,3350
2020,8,KPHL,39.871899,-75.241096,3333
2019,8,KHOU,29.645399,-95.278900,3325
2020,1,KCLT,35.214001,-80.943100,3322
2020,8,KSTL,38.748697,-90.370003,3322
2019,11,KHOU,29.645399,-95.278900,3319
2019,3,KMDW,41.785999,-87.752403,3317
2021,2,KMIA,25.793200,-80.290604,3315
2020,12,KMIA,25.793200,-80.290604,3306
2020,5,KORD,41.978600,-87.904800,3300
2019,4,KBWI,39.175400,-76.668297,3296
2019,8,KPDX,45.588699,-122.598000,3291
2019,7,KPDX,45.588699,-122.598000,3279
2019,9,KEWR,40.692501,-74.168701,3279
2019,10,KSMF,38.695400,-121.591003,3257
2020,8,KDAL,32.847099,-96.851799,3257
2019,5,KBOS,42.364300,-71.005203,3251
2019,12,KRDU,35.877602,-78.787498,3247
2020,12,KMDW,41.785999,-87.752403,3247
2019,12,KHOU,29.645399,-95.278900,3246
2019,10,KMCI,39.297600,-94.713898,3244
2020,9,KBNA,36.124500,-86.678200,3229
2019,8,KMCI,39.297600,-94.713898,3223
2020,2,KSJC,37.362598,-121.929001,3221
2019,1,KSEA,47.449001,-122.308998,3209
2020,6,KBWI,39.175400,-76.668297,3209
2021,3,KDAL,32.847099,-96.851799,3208
2020,5,KPHX,33.435302,-112.005905,3194
2019,3,KBOS,42.364300,-71.005203,3192
2020,12,KSAN,32.733601,-117.190002,3190
2019,10,KRDU,35.877602,-78.787498,3187
2020,3,KRSW,26.536200,-81.755203,3177
2019,7,KSTL,38.748697,-90.370003,3167
2019,3,KPHL,39.871899,-75.241096,3161
2020,1,KHOU,29.645399,-95.278900,3159
2019,5,KDCA,38.852100,-77.037697,3155
2020,8,KFLL,26.072599,-80.152702,3148
2020,4,KLAS,36.080101,-115.152000,3140
2019,6,KDCA,38.852100,-77.037697,3132
2019,9,KSJC,37.362598,-121.929001,3128
2019,4,KPHL,39.871899,-75.241096,3125
2020,6,KCLT,35.214001,-80.943100,3123
2020,11,KSAN,32.733601,-117.190002,3114
2020,9,KDTW,42.212399,-83.353401,3108
2019,6,KTPA,27.975500,-82.533203,3105
2019,3,KDAL,32.847099,-96.851799,3101
2019,4,KDAL,32.847099,-96.851799,3094
2020,7,KPHL,39.871899,-75.241096,3094
2019,1,KIAH,29.984400,-95.341400,3075
2019,7,KHOU,29.645399,-95.278900,3073
2019,11,KRDU,35.877602,-78.787498,3070
2020,12,KBNA,36.124500,-86.678200,3068
2020,7,KMIA,25.793200,-80.290604,3066
2021,2,KSEA,47.449001,-122.308998,3064
2019,6,KSJC,37.362598,-121.929001,3054
2019,7,KAUS,30.194500,-97.669899,3052
2020,2,KSMF,38.695400,-121.591003,3048
2021,1,KMDW,41.785999,-87.752403,3045
2019,8,KCLT,35.214001,-80.943100,3044
2019,5,KLAX,33.942501,-118.407997,3043
2019,10,KOAK,37.721298,-122.221001,3037
2019,8,KSMF,38.695400,-121.591003,3033
2019,2,KPHL,39.871899,-75.241096,3027
2019,5,KTPA,27.975500,-82.533203,3025
2019,5,KSJC,37.362598,-121.929001,3024
2019,9,KDTW,42.212399,-83.353401,3013
2020,7,KSTL,38.748697,-90.370003,3011
2021,3,KJFK,40.639801,-73.778900,3010
2019,6,KEWR,40.692501,-74.168701,3007
2019,9,KDEN,39.861698,-104.672997,2998
2021,1,KBNA,36.124500,-86.678200,2992
2020,6,KSFO,37.618999,-122.375000,2991
2020,7,KDTW,42.212399,-83.353401,2986
2020,2,KRSW,26.536200,-81.755203,2985
2019,2,KFLL,26.072599,-80.152702,2978
2020,11,KMIA,25.793200,-80.290604,2975
2020,12,KEWR,40.692501,-74.168701,2973
2019,8,KBNA,36.124500,-86.678200,2961
2020,5,KLAX,33.942501,-118.407997,2958
2021,1,KBOS,42.364300,-71.005203,2956
2020,9,KBOS,42.364300,-71.005203,2955
2020,1,KRDU,35.877602,-78.787498,2947
2019,2,KSEA,47.449001,-122.308998,2942
2019,11,KMCO,28.429399,-81.308998,2941
2019,11,KSMF,38.695400,-121.591003,2930
2019,9,KMCI,39.297600,-94.713898,2929
2020,11,KEWR,40.692501,-74.168701,2928
2019,12,KSMF,38.695400,-121.591003,2926
2020,8,KMSP,44.882000,-93.221802,2924
2020,7,KMSP,44.882000,-93.221802,2921
2020,3,KSJC,37.362598,-121.929001,2906
2020,10,KSAN,32.733601,-117.190002,2906
2019,7,KMCI,39.297600,-94.713898,2896
2020,9,KSAN,32.733601,-117.190002,2890
2019,12,KMCI,39.297600,-94.713898,2886
